Half price pedal sale	Oferta de pedal a mitad de precio	Vente de pédales à moitié prix	Seasonal Discount	Descuento de temporada	Remise saisonnière	Customer	Cliente	Client
LL Road Frame Sale	Oferta de cuadro de carretera GB	Vente de cadres de vélo de route LL	Excess Inventory	Inventario excedente	Déstockage	Reseller	Distribuidor	Revendeur
Mountain Tire Sale	Oferta de cubierta de montaña	Vente de pneus de VTT	Excess Inventory	Inventario excedente	Déstockage	Customer	Cliente	Client
Mountain-100 Clearance Sale	Liquidación de bicicleta de montaña, 100	Liquidation VTT 100	Discontinued Product	Descatalogado	Ce produit n'est plus commercialisé	Reseller	Distribuidor	Revendeur
Mountain-500 Silver Clearance Sale	Liquidación de bicicleta de montaña, 500, plateada	Liquidation VTT 500 argent	Discontinued Product	Descatalogado	Ce produit n'est plus commercialisé	Reseller	Distribuidor	Revendeur
No Discount	Sin descuento	Aucune remise	No Discount	Sin descuento	Aucune remise	No Discount	Sin descuento	Aucune remise
Road-650 overstock	Bicicleta de carretera: 650, oferta especial	Déstockage Vélo de route 650	Excess Inventory	Inventario excedente	Déstockage	Reseller	Distribuidor	Revendeur
Sport Helmet Discount-2002	Casco deportivo, descuento: 2002	Remise sur les casques sport - 2002	Seasonal Discount	Descuento de temporada	Remise saisonnière	Reseller	Distribuidor	Revendeur
Sport Helmet Discount-2003	Casco deportivo, descuento: 2003	Remise sur les casques sport - 2003	Seasonal Discount	Descuento de temporada	Remise saisonnière	Reseller	Distribuidor	Revendeur
Touring-1000 promo	Bicicleta de paseo: 1000, promoción	Randonnée 1000 - promotion	New Product	Nuevo producto	Nouveau produit	Reseller	Distribuidor	Revendeur
Touring-3000 promo	Bicicleta de paseo: 3000, promoción	Randonnée 3000 - promotion	New Product	Nuevo producto	Nouveau produit	Reseller	Distribuidor	Revendeur
Volume Discount 11 to 14	Descuento por volumen (entre 11 y 14)	Remise sur quantité (de 11 à 14)	Volume Discount	Descuento por volumen	Remise sur quantité	Reseller	Distribuidor	Revendeur
Volume Discount 15 to 24	Descuento por volumen (entre 15 y 24)	Remise sur quantité (de 15 à 24)	Volume Discount	Descuento por volumen	Remise sur quantité	Reseller	Distribuidor	Revendeur
Volume Discount 25 to 40	Descuento por volumen (entre 25 y 40)	Remise sur quantité (de 25 à 40)	Volume Discount	Descuento por volumen	Remise sur quantité	Reseller	Distribuidor	Revendeur
Volume Discount 41 to 60	Descuento por volumen (entre 41 y 60)	Remise sur quantité (de 41 à 60)	Volume Discount	Descuento por volumen	Remise sur quantité	Reseller	Distribuidor	Revendeur
Volume Discount over 60	Descuento por volumen (más de 60)	Remise sur quantité (au-delà de 60)	Volume Discount	Descuento por volumen	Remise sur quantité	Reseller	Distribuidor	Revendeur
